Attribute,Description,Valid Values,DependsOn,Properties,Required,Parent,DependsOn Component,Source,Validation Rules,columnType,module
TWAS,Transcriptome-Wide Association Study (TWAS) in Alzheimer's Disease,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn22313785,NA,string,ADKP
TauD35,Mouse tauopathy model,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn5714308,NA,string,ADKP
TyrobpKO,Mouse Tyrobp KO model,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn7123287,NA,string,ADKP
TyrobpKO_AppPs1,TyrobpKO mice crossed with APP/PS1 tg,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn10378730,NA,string,ADKP
U1-70_PrimaryCellCulture,APP.PS1 and U1-70 transduced neurons,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn5820226,NA,string,ADKP
UAB_ADRC,The University of Alabama Birmingham Alzheimer Disease Research Center (UAB_ADRC) Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage/StudyDetails?Study=syn51226075,NA,string,ADKP
UCI_3xTg-AD,The UCI_3xTg-AD study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn22964685,NA,string,ADKP
UCI_BIN1,The UCI_BIN1 Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn50944316,NA,string,ADKP
UCI_CCLines,The UCI Collaborative Cross Lines Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage/StudyDetails?Study=syn51713891,NA,string,ADKP
UCI_Microbiome,UCI_Microbiome,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn22341542,NA,string,ADKP
UCI_Multiomics,The UCI ADRC Multiomics Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26670419,NA,string,ADKP
UCI_PrimaryScreen,Primary screen data from the UCI MODEL-AD grant (UCI_PrimaryScreen),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25316706,NA,string,ADKP
UCI_StrainValidation,Strain validation data from the UCI MODEL-AD grant,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn21595257,NA,string,ADKP
UCI_Trem2-R47H_NSS,The UCI_Trem2-R47H_NSS Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn26943950,NA,string,ADKP
UCI_Trem2_Cuprizone,The UCI_Trem2_Cuprizone Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn50670633,NA,string,ADKP
UCLA-ASD,A study of samples from the Autism Tissue Program,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn4587609,NA,string,ADKP
UCSF_MAC,The UCSF Memory and Aging Center Study (UCSF_MAC),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25686496,NA,string,ADKP
UFLOR_ABI3_GNGT2,Abi3/Gngt2 deletion influences amyloid B and tau pathologies (UFLOR_ABI3_GNGT2 Study),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn27056180,NA,string,ADKP
UPenn,Center for Neurodegenerative Disease Research at the Perelman School of Medicine of the University of Pennsylvania,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn5477237,NA,string,ADKP
VMC,The Vascular Mural Cell -derived ApoE Study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn21624490,NA,string,ADKP
VirusResilience_Banner,"Virus Resilience, Banner cohort",NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25927764,NA,string,ADKP
VirusResilience_LCL,"Virus Resilience, LCL",NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25927416,NA,string,ADKP
VirusResilience_Mayo.MSBB.ROSMAP,"Brain Viral Profiling in the Mayo, MSBB, and ROSMAP Cohorts",NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25927532,NA,string,ADKP
VirusResilience_iPSC,"Virus Resilience, iPSC",NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25927676,NA,string,ADKP
WGBS Pilot,Whole Genome Bisulfite Sequencing pilot,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn4586517,NA,string,ADKP
WGS_Harmonization,The Whole Genome Sequence Harmonization Study (WGS_Harmonization),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn22264775,NA,string,ADKP
WallOfTargets,NA,NA,NA,NA,NA,study,NA,NA,NA,string,ADKP
Yale-ASD,Transcriptional and Epigenetic Signatures of Human Brain Development and Autism-,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn4566141,NA,string,ADKP
diseasePseudotime,The diseasePseudotime study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn22822673,NA,string,ADKP
eQTLmetaAnalysis,The eQTL Meta-Analysis Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25398075,NA,string,ADKP
iPSC,Gene regulatory elements and transcriptome in iPSCs and postmortem human cortex,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn4590910,NA,string,ADKP
iPSC-HiC,Human induced pluripotent stem cells (hiPSCs).,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn12979149,NA,string,ADKP
iPSCAstrocytes,The MSSM iPSCAstrocytes study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn10344967,NA,string,ADKP
iPSCMicroglia,iPSC derived microglia,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn7203233,NA,string,ADKP
lncRNA Pilot,long non-coding RNA pilot,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn4588462,NA,string,ADKP
miR155,"miR155 regulation of behavior, neuropathology, and cortical transcriptomics in Alzheimer Disease",NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn22238772,NA,string,ADKP
mtDNA_AD,The Mitochondrial DNA in Aging and AD (mtDNA_AD) Study,NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25705287,NA,string,ADKP
omicsADDS,Multiomic Studies of Alzheimer's Disease in Adults with Down Syndrome (omicsADDS),NA,NA,NA,NA,study,NA,https://adknowledgeportal.synapse.org/Explore/Studies/DetailsPage?Study=syn25533707,NA,string,ADKP
rnaSeqReprocessing,"Re-aligned reads from the ROSMAP, MSBB, and MayoRNAseq studies",NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn9702085,NA,string,ADKP
rnaSeqSampleSwap,RNAseq samples sequenced at multiple sites,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn5550419,NA,string,ADKP
scRNAseq_microglia_wild_ADmice,Microglia of wild-derived Alzheimer's mouse study (scRNAseq_microglia_wild_ADmice),NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn23763501,NA,string,ADKP
snRNAseqAD_TREM2,The TREM2-impact in Alzheimer's Disease Study,NA,NA,NA,NA,study,NA,https://www.synapse.org/#!Synapse:syn21125841/wiki/597278,NA,string,ADKP
